prop_id,situs_num,situs_street,title_owner_name,property_use_cd,property_use_description,zoning,zoning_description,market_land_val,market_improvement_val,market,appraised_val_total,taxable_val_total,yr_blt,sqft_la,imprv_type,legal_description,tax_payer_name,tax_payer_city,tax_payer_state
155439,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 35-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155440,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 36-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155441,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 37-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155442,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 38-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155443,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 39-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155444,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 40-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155445,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 41-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155446,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 42-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155447,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 43-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155448,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 44-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
